,Unnamed: 0,Country,Value,Lower_value,Upper_value,Unnamed: 0.1,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Gini index,new_value,Region,Happiness Rank,Average Temperature
105,111,Egypt,3.45,1.605,6.565,41,4.362,4.259,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,31.53395,33.056187431207086,Middle East and Northern Africa,112,22.620693031209964
106,112,Armenia,2.7925,2.1325,3.595,5,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,32.620375,37.892775828822344,Central and Eastern Europe,113,8.551647926634773
107,113,Kenya,10.7725,7.6875,14.8775,72,4.356,4.259,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,40.77577,78.01436853081294,Sub-Saharan Africa,114,24.102428231089974
108,114,Ukraine,17.555,13.78,21.99,150,4.324,4.236,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,25.9355525,29.71296126570967,Central and Eastern Europe,115,7.653507264687312
109,115,Ghana,11.095,6.8725000000000005,16.725,51,4.276,4.185,4.367,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,43.52088,68.96363319441583,Sub-Saharan Africa,116,26.71101355166567
110,116,Georgia,8.15,5.8225,11.01,49,4.252,4.164,4.34,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,36.73484,43.84050983387436,Central and Eastern Europe,117,8.106881895881907
111,117,Senegal,11.2625,6.85,17.4225,122,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,40.28523,90.90858419461118,Sub-Saharan Africa,118,27.96737499999997
112,118,Bulgaria,6.58,4.8950000000000005,8.63,20,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,40.8845775,36.73169236159776,Central and Eastern Europe,119,10.482968414403024
113,119,Mauritania,5.4075,2.7575,9.8225,90,4.201,4.127,4.275,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,32.619350000000004,53.13376553566485,Sub-Saharan Africa,120,27.620255504352293
114,120,Zimbabwe,25.5125,13.64,40.3725,160,4.193,4.101,4.285,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,47.296765,134.975500128421,Sub-Saharan Africa,121,21.11754724637679
115,121,Malawi,11.385,7.19,17.125,86,4.156,4.041,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,44.69431,513.1968078998738,Sub-Saharan Africa,122,21.431086144578323
116,122,Sudan,4.8025,2.36,8.395,135,4.139,3.928,4.35,0.63069,0.81928,0.29759,0.0,0.10039,0.18077,2.10995,34.2432,54.29481995909243,Sub-Saharan Africa,123,27.093359428571475
117,123,Gabon,13.7675,7.9625,22.1475,47,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,38.02437000000001,32.82178833156383,Sub-Saharan Africa,124,24.254725648414972
118,124,Mali,8.067499999999999,4.0975,14.775,88,4.073,3.988,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,33.03796,105.57957305381568,Sub-Saharan Africa,125,28.441976570819996
119,125,Haiti,11.4075,5.8525,18.895,55,4.028,3.893,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,41.10377,120.54952048567321,Latin America and Caribbean,126,26.295837740923353
120,126,Botswana,21.875,11.7525,37.175,18,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,53.325030000000005,48.73159029846655,Sub-Saharan Africa,127,21.879296691568843
121,127,Comoros,8.56,4.2425,15.81,31,3.956,3.86,4.052,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,45.33459000000001,164.79912028790582,Sub-Saharan Africa,128,25.70220930232557
122,128,Cambodia,5.6175,3.355,8.615,23,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,,,Southeastern Asia,129,26.65685403576609
123,129,Angola,12.5325,7.73,19.2525,3,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,,,Sub-Saharan Africa,130,21.82454918981486
124,130,Niger,10.1625,5.359999999999999,17.7775,104,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,34.27658,258.30128108515447,Sub-Saharan Africa,131,27.458972540045757
